division,year,month,mean_t2m_C,total_precip_mm
Dhaka,2019,7,29.33663119612072,259.8896026611328
Khulna,2019,7,29.603522600446468,238.2526397705078
Mymensingh,2019,7,28.88975736177889,198.59695434570312
Rajshahi,2019,7,29.585568576388937,264.97840881347656
Rangpur,2019,7,29.038557942708337,459.1865539550781
Sylhet,2019,7,28.58624674479171,334.2266082763672
Barisal,2019,8,29.158454241071468,126.60026550292969
Chittagong,2019,8,28.40291193181821,414.80445861816406
Dhaka,2019,8,29.791675646551766,226.16958618164062
Khulna,2019,8,29.426625279017856,273.58245849609375
Mymensingh,2019,8,29.94444486177889,104.92134094238281
Rajshahi,2019,8,30.119603587963013,185.44578552246094
Rangpur,2019,8,30.193139648437523,218.20640563964844
Sylhet,2019,8,29.878645833333337,217.07725524902344
Barisal,2019,9,28.593652343750023,127.6092529296875
Chittagong,2019,9,27.953781960227275,385.5628967285156
Dhaka,2019,9,28.921962553879325,189.5160675048828
Khulna,2019,9,28.68987862723219,196.49314880371094
Mymensingh,2019,9,28.61958759014425,104.32624816894531
Rajshahi,2019,9,28.791044560185185,248.64959716796875
Rangpur,2019,9,28.254663085937523,413.9060974121094
Sylhet,2019,9,28.66993272569448,208.59146118164062
Barisal,2019,10,27.765701729910745,54.86488342285156
Chittagong,2019,10,27.205557528409088,206.20155334472656
Dhaka,2019,10,27.287500000000023,155.79795837402344
Khulna,2019,10,27.373123604910745,142.56668090820312
Mymensingh,2019,10,26.68529897836538,92.7734375
Rajshahi,2019,10,26.771043113425947,168.12515258789062
Rangpur,2019,10,26.246057128906273,112.14447021484375
Sylhet,2019,10,27.001068793402794,138.427734375
Barisal,2019,11,24.712653459821468,81.298828125
Chittagong,2019,11,24.28909801136365,88.19961547851562
Dhaka,2019,11,24.085048491379325,92.79823303222656
Khulna,2019,11,24.2282435825893,134.5195770263672
Mymensingh,2019,11,23.494700270432702,13.671875
Rajshahi,2019,11,23.617903645833337,20.19500732421875
Rangpur,2019,11,23.621606445312523,12.578964233398438
Sylhet,2019,11,23.65007595486111,23.3612060546875
Barisal,2019,12,19.651757812500023,2.2258758544921875
Chittagong,2019,12,19.41605113636365,7.3528289794921875
Dhaka,2019,12,18.484664601293105,8.4381103515625
Khulna,2019,12,18.977772739955356,8.174896240234375
Mymensingh,2019,12,17.95203200120193,1.8138885498046875
Rajshahi,2019,12,17.669661458333337,4.5490264892578125
Rangpur,2019,12,17.33697916666671,3.4580230712890625
Sylhet,2019,12,18.389930555555566,2.574920654296875
Barisal,2020,1,18.7703578404018,12.361526489257812
Chittagong,2020,1,18.475310724431836,40.50254821777344
Dhaka,2020,1,17.603165409482756,13.139724731445312
Khulna,2020,1,17.9587123325893,24.900436401367188
Mymensingh,2020,1,17.12437650240389,7.0056915283203125
Rajshahi,2020,1,16.83961950231486,20.92742919921875
Rangpur,2020,1,16.531844075520837,16.803741455078125
Sylhet,2020,1,17.572547743055566,9.754180908203125
Barisal,2020,2,20.859207589285745,2.1419525146484375
Chittagong,2020,2,20.29886363636365,7.0781707763671875
Dhaka,2020,2,20.008001077586243,7.7114105224609375
Khulna,2020,2,20.368171037946468,6.916046142578125
Mymensingh,2020,2,19.643851412259664,4.23431396484375
Rajshahi,2020,2,19.20904947916671,22.796630859375
Rangpur,2020,2,19.116479492187523,31.919479370117188
Sylhet,2020,2,19.77730034722225,7.4405670166015625
Barisal,2020,3,26.133796037946468,5.79071044921875
Chittagong,2020,3,25.457421875000023,7.2784423828125
Dhaka,2020,3,25.104242995689674,23.775100708007812
Khulna,2020,3,25.6291224888393,25.99334716796875
Mymensingh,2020,3,24.16385216346157,14.986038208007812
Rajshahi,2020,3,23.950802951388937,35.1104736328125
Rangpur,2020,3,23.742700195312523,25.948524475097656
Sylhet,2020,3,24.44733072916671,14.126777648925781
Barisal,2020,4,28.004785156250023,86.83204650878906
Chittagong,2020,4,27.28137428977277,223.24562072753906
Dhaka,2020,4,27.13815328663793,251.53160095214844
Khulna,2020,4,27.981556919642856,230.26657104492188
Mymensingh,2020,4,25.906640625000023,93.31703186035156
Rajshahi,2020,4,26.476537181713013,149.3377685546875
Rangpur,2020,4,25.79986979166671,112.69378662109375
Sylhet,2020,4,26.11188151041671,158.29849243164062
Barisal,2020,5,29.012562779017856,64.20135498046875
Chittagong,2020,5,28.469007457386397,239.74609375
Dhaka,2020,5,28.32922279094828,248.2166290283203
Khulna,2020,5,28.956828962053578,160.42327880859375
Mymensingh,2020,5,27.213769531250023,206.6020965576172
Rajshahi,2020,5,27.842151331018556,260.93482971191406
Rangpur,2020,5,26.840193684895837,338.2606506347656
Sylhet,2020,5,27.231673177083337,267.3492431640625
Barisal,2020,6,29.083642578125023,165.2679443359375
Chittagong,2020,6,28.171821732954584,606.3728332519531
Dhaka,2020,6,29.165800107758628,335.7734680175781
Khulna,2020,6,29.495472935267856,273.0064392089844
Mymensingh,2020,6,28.55105919471157,203.19747924804688
Rajshahi,2020,6,29.38747106481486,327.7015686035156
Rangpur,2020,6,28.78192545572921,414.3867492675781
Sylhet,2020,6,28.215614149305566,339.66064453125
Barisal,2020,7,29.234870256696468,145.04623413085938
Chittagong,2020,7,28.065420809659088,523.6167907714844
Dhaka,2020,7,29.371619073275895,334.1712951660156
Khulna,2020,7,29.65814034598219,318.2830810546875
Mymensingh,2020,7,28.823876953125023,224.22027587890625
Rajshahi,2020,7,29.383926504629642,379.7950744628906
Rangpur,2020,7,28.73175455729171,427.9670715332031
Sylhet,2020,7,28.589718967013937,328.7086486816406
Barisal,2020,8,28.9853236607143,184.28421020507812
Chittagong,2020,8,28.133957741477275,623.7716674804688
Dhaka,2020,8,29.54894935344828,246.20437622070312
Khulna,2020,8,29.4211146763393,306.3621520996094
Mymensingh,2020,8,29.622742638221155,113.39569091796875
Rajshahi,2020,8,29.98194444444448,202.60238647460938
Rangpur,2020,8,29.84222819010421,229.93850708007812
Sylhet,2020,8,29.428993055555566,259.78851318359375
Barisal,2020,9,29.237102399553578,117.14363098144531
Chittagong,2020,9,28.35656960227277,395.89881896972656
Dhaka,2020,9,29.420985991379325,223.5431671142578
Khulna,2020,9,29.493171037946468,206.00128173828125
Mymensingh,2020,9,28.69908353365389,170.12786865234375
Rajshahi,2020,9,29.23035300925926,277.9064178466797
Rangpur,2020,9,28.405379231770837,357.8319549560547
Sylhet,2020,9,28.751584201388937,265.0032043457031
Barisal,2020,10,28.851604352678578,108.673095703125
Chittagong,2020,10,28.09045632102277,342.66090393066406
Dhaka,2020,10,28.851515355603453,170.49026489257812
Khulna,2020,10,28.746344866071468,140.51246643066406
Mymensingh,2020,10,28.31514423076925,97.23091125488281
Rajshahi,2020,10,28.704618778935185,97.57804870605469
Rangpur,2020,10,28.159814453125023,88.25302124023438
Sylhet,2020,10,28.419824218750023,161.41510009765625
Barisal,2020,11,24.439215959821468,16.71600341796875
Chittagong,2020,11,24.259756747159088,59.093475341796875
Dhaka,2020,11,23.845453933189674,9.679794311523438
Khulna,2020,11,23.913650948660745,13.088226318359375
Mymensingh,2020,11,23.217844801682702,3.204345703125
Rajshahi,2020,11,23.139858217592632,1.850128173828125
Rangpur,2020,11,22.36029459635421,1.9817352294921875
Sylhet,2020,11,23.81880425347225,10.015487670898438
Barisal,2020,12,19.91497628348219,0.030517578125
Chittagong,2020,12,19.501455965909088,0.2002716064453125
Dhaka,2020,12,18.9442551185345,0.621795654296875
Khulna,2020,12,19.246658761160745,0.2079010009765625
Mymensingh,2020,12,18.468934044471155,0.8068084716796875
Rajshahi,2020,12,18.375643807870404,0.885009765625
Rangpur,2020,12,18.04523111979171,2.15911865234375
Sylhet,2020,12,18.768646918402794,1.2149810791015625
Barisal,2021,1,19.79144112723219,0.7171630859375
Chittagong,2021,1,19.250701349431836,2.4280548095703125
Dhaka,2021,1,18.07467672413793,3.4809112548828125
Khulna,2021,1,18.793167550223245,1.15203857421875
Mymensingh,2021,1,17.308909254807702,0.9002685546875
Rajshahi,2021,1,16.975632957175947,0.4863739013671875
Rangpur,2021,1,16.85852457682296,1.8768310546875
Sylhet,2021,1,17.88165690104171,2.3136138916015625
Barisal,2021,2,22.0214564732143,0.1163482666015625
Chittagong,2021,2,21.456889204545462,0.682830810546875
Dhaka,2021,2,21.277330280172464,0.7781982421875
Khulna,2021,2,21.693854631696468,1.0461807250976562
Mymensingh,2021,2,20.727835787259664,0.30803680419921875
Rajshahi,2021,2,20.621665219907413,0.43010711669921875
Rangpur,2021,2,20.330672200520837,0.762939453125
Sylhet,2021,2,20.737586805555566,0.4634857177734375
Barisal,2021,3,27.632679966517856,1.4781951904296875
Chittagong,2021,3,27.045268110795462,9.534835815429688
Dhaka,2021,3,26.920245150862115,13.079643249511719
Khulna,2021,3,27.539208984375023,9.833335876464844
Mymensingh,2021,3,25.30115309495193,14.462471008300781
Rajshahi,2021,3,25.986791087963013,10.123252868652344
Rangpur,2021,3,24.817773437500023,18.449783325195312
Sylhet,2021,3,25.170936414930566,66.94412231445312
Barisal,2021,4,29.599128069196468,2.96783447265625
Chittagong,2021,4,29.153488991477275,16.355514526367188
Dhaka,2021,4,29.409603987068976,24.793624877929688
Khulna,2021,4,29.729638671875023,17.742156982421875
Mymensingh,2021,4,27.991038161057702,22.083282470703125
Rajshahi,2021,4,28.819364872685185,32.413482666015625
Rangpur,2021,4,27.59827067057296,44.879913330078125
Sylhet,2021,4,27.57268337673611,38.41400146484375
Barisal,2021,5,29.4294154575893,74.82528686523438
Chittagong,2021,5,29.340722656250023,172.8534698486328
Dhaka,2021,5,28.94742052801729,275.8636474609375
Khulna,2021,5,29.464257812500023,205.90591430664062
Mymensingh,2021,5,27.897776442307702,181.03408813476562
Rajshahi,2021,5,28.521820746527794,274.3263244628906
Rangpur,2021,5,27.399458821614587,276.40724182128906
Sylhet,2021,5,27.95696072048611,202.94952392578125
Barisal,2021,6,28.534988839285745,242.2771453857422
Chittagong,2021,6,27.483300781250023,781.7821502685547
Dhaka,2021,6,28.436072198275895,434.4921112060547
Khulna,2021,6,28.903606305803578,426.36871337890625
Mymensingh,2021,6,28.145804537259664,186.46240234375
Rajshahi,2021,6,28.98921440972225,304.71229553222656
Rangpur,2021,6,28.77948404947921,296.57554626464844
Sylhet,2021,6,28.089691840277794,301.1322021484375
Barisal,2021,7,28.835246930803578,210.4167938232422
Chittagong,2021,7,27.95071910511365,768.6710357666016
Dhaka,2021,7,29.23005118534485,314.03350830078125
Khulna,2021,7,29.223151506696468,350.2464294433594
Mymensingh,2021,7,28.950661057692344,154.77561950683594
Rajshahi,2021,7,29.63642216435187,260.59913635253906
Rangpur,2021,7,29.373640950520837,249.6929168701172
Sylhet,2021,7,28.75049913194448,303.6155700683594
Barisal,2021,8,28.921707589285745,150.4802703857422
Chittagong,2021,8,27.896741832386397,461.6966247558594
Dhaka,2021,8,29.16606950431037,300.3406524658203
Khulna,2021,8,29.2018763950893,309.39483642578125
Mymensingh,2021,8,28.865981820913476,157.47642517089844
Rajshahi,2021,8,29.34283854166671,314.5160675048828
Rangpur,2021,8,28.96429850260421,310.1654052734375
Sylhet,2021,8,28.503537326388937,301.1474609375
Barisal,2021,9,28.728662109375023,140.3331756591797
Chittagong,2021,9,28.181898082386397,358.4938049316406
Dhaka,2021,9,29.277667025862115,194.82803344726562
Khulna,2021,9,28.765422712053578,248.25668334960938
Mymensingh,2021,9,29.379728816105796,83.09745788574219
Rajshahi,2021,9,29.467187500000023,141.03126525878906
Rangpur,2021,9,29.480859375000023,134.7198486328125
Sylhet,2021,9,29.44621853298611,151.35765075683594
Barisal,2021,10,28.519573102678578,94.62547302246094
Chittagong,2021,10,27.99572975852277,232.81097412109375
Dhaka,2021,10,28.418561422413802,125.18310546875
Khulna,2021,10,28.2948939732143,127.34603881835938
Mymensingh,2021,10,28.000878906250023,53.05290222167969
Rajshahi,2021,10,28.05115379050926,105.5755615234375
Rangpur,2021,10,27.51202799479171,173.17771911621094
Sylhet,2021,10,28.235579427083337,70.78742980957031
Barisal,2021,11,24.180182756696468,6.47735595703125
Chittagong,2021,11,24.277246093750023,24.166107177734375
Dhaka,2021,11,23.27935075431037,9.447097778320312
Khulna,2021,11,23.584514508928578,20.038604736328125
Mymensingh,2021,11,22.741150841346155,0.43487548828125
Rajshahi,2021,11,22.70642722800926,2.1533966064453125
Rangpur,2021,11,22.227705891927087,0.1220703125
Sylhet,2021,11,23.31074761284725,0.774383544921875
Barisal,2021,12,20.634388950892856,31.839370727539062
Chittagong,2021,12,20.77258522727277,107.513427734375
Dhaka,2021,12,19.91573275862072,103.19328308105469
Khulna,2021,12,19.964362444196468,100.39520263671875
Mymensingh,2021,12,19.62015099158657,11.1846923828125
Rajshahi,2021,12,19.614793113425947,16.082763671875
Rangpur,2021,12,19.129012044270837,4.0435791015625
Sylhet,2021,12,19.782345920138937,48.18534851074219
Barisal,2022,1,19.16717354910719,10.491371154785156
Chittagong,2022,1,19.276069779829584,16.328811645507812
Dhaka,2022,1,18.224595905172464,15.789985656738281
Khulna,2022,1,18.291406250000023,22.947311401367188
Mymensingh,2022,1,17.89659329927889,10.053634643554688
Rajshahi,2022,1,17.36833767361111,20.28656005859375
Rangpur,2022,1,16.98212076822921,17.705917358398438
Sylhet,2022,1,18.208398437500023,16.50714874267578
Barisal,2022,2,21.006389508928578,14.6636962890625
Chittagong,2022,2,20.53714488636365,32.86552429199219
Dhaka,2022,2,19.730455280172464,47.54066467285156
Khulna,2022,2,20.376123046875023,42.74940490722656
Mymensingh,2022,2,18.87251727764425,32.558441162109375
Rajshahi,2022,2,18.937962962963013,71.52748107910156
Rangpur,2022,2,18.19635416666671,61.43760681152344
Sylhet,2022,2,19.061642795138937,24.608612060546875
Barisal,2022,3,26.8969447544643,2.132415771484375
Chittagong,2022,3,26.519788707386397,19.117355346679688
Dhaka,2022,3,26.508809267241418,11.758804321289062
Khulna,2022,3,26.987904575892856,2.590179443359375
Mymensingh,2022,3,25.546852463942344,8.464813232421875
Rajshahi,2022,3,26.044643373842632,6.775856018066406
Rangpur,2022,3,25.704736328125023,14.365196228027344
Sylhet,2022,3,25.460188802083337,33.942222595214844
Barisal,2022,4,29.424079241071468,7.82012939453125
Chittagong,2022,4,28.913565340909088,59.10682678222656
Dhaka,2022,4,29.352862338362115,105.32379150390625
Khulna,2022,4,30.035756138392856,30.214309692382812
Mymensingh,2022,4,27.517762169471155,109.76219177246094
Rajshahi,2022,4,28.960369646990785,97.0001220703125
Rangpur,2022,4,26.560164388020837,178.0834197998047
Sylhet,2022,4,27.226898871527794,154.25682067871094
Barisal,2022,5,29.220605468750023,104.53224182128906
Chittagong,2022,5,28.235120738636397,368.98231506347656
Dhaka,2022,5,28.729512392241418,236.053466796875
Khulna,2022,5,29.502971540178578,152.27127075195312
Mymensingh,2022,5,27.69664212740389,139.5416259765625
Rajshahi,2022,5,28.7624529803241,190.6585693359375
Rangpur,2022,5,27.684309895833337,266.42608642578125
Sylhet,2022,5,27.360579427083337,271.49391174316406
Barisal,2022,6,29.10027901785719,125.68092346191406
Chittagong,2022,6,27.807674893465958,470.69740295410156
Dhaka,2022,6,29.036860183189674,302.6866912841797
Khulna,2022,6,29.805740792410745,148.29635620117188
Mymensingh,2022,6,28.07934194711538,204.57077026367188
Rajshahi,2022,6,29.547880497685185,207.81326293945312
Rangpur,2022,6,28.04980875651046,439.5885467529297
Sylhet,2022,6,27.530175781250023,406.13365173339844
Barisal,2022,7,29.324958147321468,93.36471557617188
Chittagong,2022,7,28.92590553977277,227.1442413330078
Dhaka,2022,7,29.949878771551766,137.02964782714844
Khulna,2022,7,29.742264229910745,154.79469299316406
Mymensingh,2022,7,30.00972430889425,101.91726684570312
Rajshahi,2022,7,30.42816116898149,134.7484588623047
Rangpur,2022,7,30.245874023437523,186.5692138671875
Sylhet,2022,7,29.736555989583337,197.509765625
Barisal,2022,8,29.177008928571468,135.88523864746094
Chittagong,2022,8,28.69636896306821,321.37107849121094
Dhaka,2022,8,29.76598195043107,139.44244384765625
Khulna,2022,8,29.428055245535745,217.01622009277344
Mymensingh,2022,8,29.89379507211538,67.77381896972656
Rajshahi,2022,8,29.951309317129642,142.1031951904297
Rangpur,2022,8,30.020979817708337,160.66360473632812
Sylhet,2022,8,29.89644097222225,121.19293212890625
Barisal,2022,9,28.9518763950893,164.08729553222656
Chittagong,2022,9,28.079758522727275,497.0245361328125
Dhaka,2022,9,29.10074084051729,292.2649383544922
Khulna,2022,9,29.0944545200893,240.2973175048828
Mymensingh,2022,9,28.71166616586538,176.91612243652344
Rajshahi,2022,9,29.1301287615741,306.9782257080078
Rangpur,2022,9,28.88184000651046,268.280029296875
Sylhet,2022,9,28.773583984375023,214.8609161376953
Barisal,2022,10,27.889515904017856,88.00125122070312
Chittagong,2022,10,27.47757457386365,217.84210205078125
Dhaka,2022,10,27.60498383620694,163.2061004638672
Khulna,2022,10,27.58074776785719,221.03309631347656
Mymensingh,2022,10,27.04478665865389,98.61373901367188
Rajshahi,2022,10,27.359458188657413,149.2290496826172
Rangpur,2022,10,26.691451009114587,169.4202423095703
Sylhet,2022,10,27.24439561631948,117.92564392089844
Barisal,2022,11,24.563553292410745,0.1678466796875
Chittagong,2022,11,24.785324928977275,4.2285919189453125
Dhaka,2022,11,23.894416756465546,0.5130767822265625
Khulna,2022,11,23.7077357700893,0.072479248046875
Mymensingh,2022,11,23.43167442908657,0.4730224609375
Rajshahi,2022,11,23.094321469907413,0.2803802490234375
Rangpur,2022,11,22.84283854166671,0.804901123046875
Sylhet,2022,11,24.09297417534725,1.796722412109375
Barisal,2022,12,20.956794084821468,1.6727447509765625
Chittagong,2022,12,21.052414772727275,4.6710968017578125
Dhaka,2022,12,20.00005387931037,1.3751983642578125
Khulna,2022,12,20.142585100446468,0.86212158203125
Mymensingh,2022,12,19.65034930889425,1.3942718505859375
Rajshahi,2022,12,19.370109953703718,1.9893646240234375
Rangpur,2022,12,19.325341796875023,1.262664794921875
Sylhet,2022,12,20.17486979166671,3.814697265625
Barisal,2023,1,19.5429408482143,0.3814697265625
Chittagong,2023,1,19.415518465909088,0.553131103515625
Dhaka,2023,1,18.19849811422415,0.507354736328125
Khulna,2023,1,18.76043526785719,0.7495880126953125
Mymensingh,2023,1,17.497010216346155,0.08392333984375
Rajshahi,2023,1,16.984367766203718,0.2231597900390625
Rangpur,2023,1,16.611230468750023,0.1506805419921875
Sylhet,2023,1,18.16608072916671,0.4444122314453125
Barisal,2023,2,23.250285993303578,0.4940032958984375
Chittagong,2023,2,22.491557173295462,1.1959075927734375
Dhaka,2023,2,22.10855334051729,2.6521682739257812
Khulna,2023,2,22.80755440848219,1.5430450439453125
Mymensingh,2023,2,21.325773737980796,1.9426345825195312
Rajshahi,2023,2,21.32178819444448,1.0976791381835938
Rangpur,2023,2,21.103540039062523,2.399444580078125
Sylhet,2023,2,21.554481336805566,7.092475891113281
Barisal,2023,3,26.277594866071468,39.755821228027344
Chittagong,2023,3,25.568750000000023,81.59542083740234
Dhaka,2023,3,25.34323141163793,99.78199005126953
Khulna,2023,3,26.0800502232143,96.33922576904297
Mymensingh,2023,3,24.422528545673117,59.60559844970703
Rajshahi,2023,3,25.051388888888937,85.13450622558594
Rangpur,2023,3,24.67584635416671,83.0545425415039
Sylhet,2023,3,24.390256076388937,85.02769470214844
Barisal,2023,4,29.2948939732143,18.808364868164062
Chittagong,2023,4,29.067329545454584,57.01732635498047
Dhaka,2023,4,29.004128502155197,34.659385681152344
Khulna,2023,4,29.581863839285745,34.127235412597656
Mymensingh,2023,4,27.459281099759664,28.161048889160156
Rajshahi,2023,4,28.49628544560187,44.77691650390625
Rangpur,2023,4,27.96673990885421,31.456947326660156
Sylhet,2023,4,27.319129774305566,73.9297866821289
Barisal,2023,5,29.405803571428578,53.165435791015625
Chittagong,2023,5,28.965988991477275,225.0537872314453
Dhaka,2023,5,29.140577855603453,210.62469482421875
Khulna,2023,5,29.87566964285719,98.73771667480469
Mymensingh,2023,5,27.921157602163476,141.76559448242188
Rajshahi,2023,5,29.005002170138937,134.25827026367188
Rangpur,2023,5,28.49457194010421,189.15367126464844
Sylhet,2023,5,28.264550781250023,171.70333862304688
Barisal,2023,6,29.603871372767856,115.77224731445312
Chittagong,2023,6,28.48938210227277,440.05775451660156
Dhaka,2023,6,29.71637931034485,240.91339111328125
Khulna,2023,6,30.413232421875023,179.0180206298828
Mymensingh,2023,6,28.94258563701925,183.42018127441406
Rajshahi,2023,6,30.536053240740785,214.67208862304688
Rangpur,2023,6,29.242476399739587,379.6272277832031
Sylhet,2023,6,28.50074327256948,339.6148681640625
Barisal,2023,7,29.584514508928578,105.73577880859375
Chittagong,2023,7,29.040829190340958,261.7034912109375
Dhaka,2023,7,30.08999865301729,177.2785186767578
Khulna,2023,7,30.02606026785719,176.95045471191406
Mymensingh,2023,7,29.801585036057702,114.56298828125
Rajshahi,2023,7,30.3654803240741,185.96458435058594
Rangpur,2023,7,29.96417643229171,298.07472229003906
Sylhet,2023,7,29.58687065972225,208.84132385253906
Barisal,2023,8,28.94207589285719,221.05026245117188
Chittagong,2023,8,27.736541193181836,809.8087310791016
Dhaka,2023,8,29.30871497844828,333.67156982421875
Khulna,2023,8,29.341943359375023,400.7091522216797
Mymensingh,2023,8,29.177430138221155,185.8348846435547
Rajshahi,2023,8,29.679427083333337,324.188232421875
Rangpur,2023,8,29.450056966145837,357.73277282714844
Sylhet,2023,8,28.752235243055566,344.3946838378906
Barisal,2023,9,29.167103794642856,127.30979919433594
Chittagong,2023,9,28.497949218750023,401.9508361816406
Dhaka,2023,9,29.641285021551766,222.23663330078125
Khulna,2023,9,29.294545200892856,244.45724487304688
Mymensingh,2023,9,29.610329026442344,127.56538391113281
Rajshahi,2023,9,29.708977141203718,248.1517791748047
Rangpur,2023,9,29.744042968750023,254.9610137939453
Sylhet,2023,9,29.68311631944448,212.36801147460938
Barisal,2023,10,28.135400390625023,64.178466796875
Chittagong,2023,10,27.222425426136397,178.47824096679688
Dhaka,2023,10,27.76187365301729,175.872802734375
Khulna,2023,10,28.021351841517856,142.39120483398438
Mymensingh,2023,10,27.042871093750023,158.4606170654297
Rajshahi,2023,10,27.450730613425947,168.36929321289062
Rangpur,2023,10,26.93768717447921,212.87155151367188
Sylhet,2023,10,27.206282552083337,201.91383361816406
Barisal,2023,11,24.91424386160719,58.37249755859375
Chittagong,2023,11,24.74319957386365,142.8356170654297
Dhaka,2023,11,24.4921066810345,83.80126953125
Khulna,2023,11,24.601883370535745,59.79347229003906
Mymensingh,2023,11,24.072919170673117,7.720947265625
Rajshahi,2023,11,24.080125144675947,7.5359344482421875
Rangpur,2023,11,23.829248046875023,1.5392303466796875
Sylhet,2023,11,24.15094401041671,75.57487487792969
Barisal,2023,12,21.10516183035719,6.98089599609375
Chittagong,2023,12,21.352840909090958,43.483734130859375
Dhaka,2023,12,20.436173221982756,51.66816711425781
Khulna,2023,12,20.464955357142856,38.242340087890625
Mymensingh,2023,12,20.377268629807702,15.15960693359375
Rajshahi,2023,12,20.015183738425947,37.281036376953125
Rangpur,2023,12,19.759016927083337,17.87567138671875
Sylhet,2023,12,20.61030815972225,27.990341186523438
Barisal,2024,1,18.099965122767856,5.340576171875
Chittagong,2024,1,17.94046519886365,9.4451904296875
Dhaka,2024,1,16.81491109913793,2.7637481689453125
Khulna,2024,1,17.20648018973219,11.4898681640625
Mymensingh,2024,1,16.567886117788476,0.8678436279296875
Rajshahi,2024,1,15.807175925925947,1.60980224609375
Rangpur,2024,1,15.883996582031273,2.5386810302734375
Sylhet,2024,1,17.106103515625023,0.5817413330078125
Barisal,2024,2,22.501088169642856,4.0378570556640625
Chittagong,2024,2,21.782705965909088,16.298294067382812
Dhaka,2024,2,21.289251077586243,19.32525634765625
Khulna,2024,2,21.952225167410745,11.930465698242188
Mymensingh,2024,2,20.355389873798117,10.499954223632812
Rajshahi,2024,2,20.292382812500023,16.725540161132812
Rangpur,2024,2,19.620385742187523,10.27679443359375
Sylhet,2024,2,20.131684027777794,36.56005859375
Barisal,2024,3,26.245507812500023,16.359329223632812
Chittagong,2024,3,25.419735440340958,41.50390625
Dhaka,2024,3,25.02204337284485,57.74497985839844
Khulna,2024,3,25.943750000000023,46.6766357421875
Mymensingh,2024,3,23.850563401442344,32.28187561035156
Rajshahi,2024,3,24.318460648148175,48.59733581542969
Rangpur,2024,3,23.844710286458337,49.85618591308594
Sylhet,2024,3,23.46686197916671,59.017181396484375
Barisal,2024,4,30.979882812500023,8.306503295898438
Chittagong,2024,4,30.194637784090958,34.320831298828125
Dhaka,2024,4,30.931930226293105,14.917373657226562
Khulna,2024,4,31.587653459821468,8.390426635742188
Mymensingh,2024,4,29.620695612980796,6.8950653076171875
Rajshahi,2024,4,30.487152777777794,4.253387451171875
Rangpur,2024,4,29.397607421875023,8.882522583007812
Sylhet,2024,4,28.324609375000023,91.58706665039062
Barisal,2024,5,30.027001953125023,178.0242919921875
Chittagong,2024,5,29.258069957386397,453.64952087402344
Dhaka,2024,5,29.84151400862072,352.89573669433594
Khulna,2024,5,30.254296875000023,289.7014617919922
